x,y,z
"1,368895382","-0,1107765929","-1,05209625"
"1,437194357","-0,07910926753","-1,015907323"
"1,506355668","-0,04275796081","-0,974021958"
"1,576260631","-0,001055682151","-0,9256799173"
"1,646561907","0,04707471292","-0,8696360175"
"1,716804935","0,102890924","-0,8044296173"
"1,786399285","0,1677775774","-0,7284449935"
"1,854933671","0,2431431551","-0,6400577702"
"1,921247825","0,3310620501","-0,5368325628"
"1,98381687","0,4338992553","-0,4159749037"
"2,040717743","0,5539464195","-0,2747306205"
"2,090447116","0,6943449013","-0,109454471"
"2,129213579","0,8579160484","0,08338778772"
"2,152125992","1,0471232","0,3070503204"
"2,154137057","1,264303636","0,5646700105"
"2,128174616","1,510215356","0,8579312284"
"2,065387542","1,782580362","1,185494214"
"1,955841364","2,07491809","1,541762787"
"1,789539704","2,37404677","1,914198796"
"1,558160912","2,65929947","2,282516622"
"1,259013435","2,902152486","2,618065187"
"0,8959508605","3,068652216","2,886365179"
"0,4862407744","3,130481321","3,058262634"
"0,05347995999","3,066088563","3,111303209"
"-0,373148973","2,876699438","3,046077554"
"-0,7669468518","2,578805497","2,878747449"
"-1,109503133","2,203246274","2,640108423"
"-1,392384718","1,784413844","2,364613439"
"-1,615729304","1,352952764","2,082920575"
"-1,785191773","0,9322768712","1,818360028"
"-1,908815035","0,5363821276","1,584664846"
"-1,994679611","0,1730250585","1,389118427"
"-2,050087361","-0,1550753165","1,233856122"
"-2,080376069","-0,44877974","1,116956351"
"-2,090129915","-0,7100987516","1,035310857"
"-2,082067148","-0,9418257446","0,9842440425"
"-2,058188495","-1,146511498","0,9587898817"
"-2,020063391","-1,326778254","0,9538122994"
"-1,968596887","-1,48416094","0,9642114404"
"-1,904586527","-1,619446896","0,9850759325"
"-1,828965192","-1,733394924","1,011647163"
"-1,742550732","-1,826018457","1,038966468"
"-1,646657699","-1,897077283","1,063235415"
"-1,542876009","-1,946404877","1,081105407"
"-1,432675924","-1,974164941","1,089807541"
"-1,318235273","-1,979760237","1,085861187"
"-1,201610552","-1,964393847","1,068713878"
"-1,084713449","-1,929733515","1,038527526"
"-0,9694556507","-1,877446983","0,9954640421"
"-0,8575883583","-1,809475063","0,9400794641"
"-0,750677594","-1,728596734","0,8741289329"
"-0,6494656474","-1,63757108","0,7996869424"
"-0,5546021232","-1,539122229","0,7188265455"
"-0,4665028998","-1,435959415","0,6336987584"
"-0,3851477339","-1,330528707","0,5463730367"
"-0,3101985568","-1,224702651","0,4585101859"
"-0,2413037144","-1,120268766","0,3717030631"
"-0,1779464797","-1,018769986","0,2873748809"
"-0,1195242271","-0,9210804512","0,2064155256"
"-0,0654362463","-0,8278704796","0,1295461415"
"-0,01512297331","-0,7396484941","0,0573526142"
"0,03207333771","-0,6567986239","-0,009661945728"
"0,07660729843","-0,5792257556","-0,07139997055"
"0,118914502","-0,506796732","-0,1277967345"
"0,1594194516","-0,4393748023","-0,1787885986"
"0,1984886124","-0,3767291804","-0,2243737802"
"0,2364567806","-0,3185054961","-0,2646632945"
"0,2735177035","-0,264308328","-0,2997887707"
"0,3098651285","-0,2137422551","-0,3298818383"
"0,3456497645","-0,1664211084","-0,3550551087"
"0,3810597841","-0,1219102363","-0,375482047"
"0,4161977704","-0,0797864901","-0,3912995174"
"0,4510654207","-0,03965752946","-0,402588293"
"0,4856644322","-0,001131013895","-0,4094291471"
"0,5199965024","0,03618539705","-0,4119028527"
"0,5540290932","0,07266893099","-0,4100765412"
"0,5876222217","0,108649177","-0,4039660708"
"0,6210063064","0,1446232969","-0,3936929002"
"0,6539607069","0,1808912157","-0,3791870691"
"0,6862647826","0,2177528584","-0,3603786174"
"0,7176978931","0,2555081502","-0,3371975846"
"0,7480393979","0,2944570162","-0,3095740105"
"0,7770686566","0,3348993814","-0,2774379348"
"0,8045650286","0,3771351709","-0,2407193971"
"0,8302588284","0,4214191631","-0,1993644612"
